,Question,Answer
0,What is Make Ur Bundle?,"This is a Do-It-Yourself bundle that will allow customers to enjoy data and voice in an integrated or standalone bundle. Customers will be able to select a preferred price point, validity and a mix of data and voice. Customers will access the offer via USSD, Web & App.
"
1,What is the price range for the Make Ur Bundle subscription?,"Currently the bundle allows subscription at any price point between Sh1 - 1,150.
"
2,Who is eligible for Make Ur Bundle?,"All customers (prepaid and postpaid) are eligible for the bundle.
"
3,How do I purchase Make Ur Bundle?,"You can purchase the bundle via *544#, *444# and *555#(for Blaze). The bundle will also be available via Safaricom App and Web.
"
4,How can I check my remaining Make Ur Bundle balance?,"You can check your account balance through dialing *544#, *444# or *555#, then Balance & Tips and then choosing Balance option. You shall then receive an SMS with all account balances.
"
5,Can I use Make Ur Bundle Data resources to access any internet site?,"Yes. Awarded data resources will have no restrictions in terms of content that can be accessed.
"
6,"When my Make Ur Bundle expires, what will happen to my unused data?","Any unused data shall not be rolled over.
"
7,Can I purchase multiple Make Ur Bundle at a given time?,"Yes, you can purchase the bundles as many times without any restriction.
"
8,Does safaricom have 5G ready Mobile data bundles?,"Yes, following succesful commercial launch in Oct-2022, customers will dial *444# and choose Option 1:Data deals to view the 5G ready bundles. The offers will be avaibale ONLY for customers with 5G Ready devices . Remember to be in 5G ready site to enjoy maximum speeds.
"
9,What are the available 5G bundle packages?,"Below are the currenly available packages.
5G Data Packages
Price (KSh)
Volume (MBs)
Validity
Sh1000=15GB, 30Days
1000
15360
30Days
Sh2000=35GB, 30Days
2000
35840
30Days
Sh3000=65GB, 30Days
3000
66560
30Days
Sh5000=100GB, 30days
5000
102400
30Days
Sh10000=200GB, 30Days
10000
204800
30Days

"
10,How do I purchase the 5G bundles?,"Dial *444# or *544# and select data deals. The packages will also be available via Safaricom App and Web soon.
"
11,Are the 5G bundles available to everyone?,"No. The 5G data bundles are only available to customers using 5G devices.
"
12,Do the 5G bundles rollover past 30days?,"No. Any unused bundles will expire after 30days . validity of the data volumes (Mbs) is for only 30days and cannot be extended.
"
